date,countryCode,country,provinceCode,province,cityCode,city,confirmed,suspected,cured,dead
2020-04-30,,波黑,,,,,1757,0,727,69
2020-04-30,,钻石公主号邮轮,,,,,712,0,645,13
2020-04-30,,英国属地曼岛,,,,,313,0,258,21
2020-04-30,,泽西岛,,,,,280,0,0,19
2020-04-30,,格恩西岛,,,,,209,0,0,6
2020-04-30,,圣马丁,,,,,75,0,33,13
2020-04-30,,蒙古,,,,,38,0,10,0
2020-04-30,,荷属安的列斯,,,,,16,0,11,1
2020-04-30,,北马里亚纳,,,,,14,0,0,2
2020-04-30,,福克兰群岛（马尔维纳斯）,,,,,13,0,11,0
2020-04-30,,毛利塔尼亚,,,,,8,0,6,1
2020-04-30,AD,安道尔,,,,,743,0,398,41
2020-04-30,AE,阿联酋,,,,,12481,0,2429,105
2020-04-30,AF,阿富汗,,,,,2171,0,260,64
2020-04-30,AG,安提瓜和巴布达,,,,,24,0,11,3
2020-04-30,AI,安圭拉,,,,,3,0,3,0
2020-04-30,AL,阿尔巴尼亚,,,,,773,0,470,31
2020-04-30,AM,亚美尼亚,,,,,2066,0,929,32
2020-04-30,AO,安哥拉,,,,,27,0,7,2
2020-04-30,AR,阿根廷,,,,,4285,0,1192,214
2020-04-30,AT,奥地利,,,,,15452,0,12907,584
2020-04-30,AU,澳大利亚,,,,,6753,0,5715,91
2020-04-30,AW,阿鲁巴,,,,,100,0,73,2
2020-04-30,AZ,阿塞拜疆,,,,,1804,0,1325,24
2020-04-30,BB,巴巴多斯,,,,,80,0,39,7
2020-04-30,BD,孟加拉国,,,,,7667,0,160,168
2020-04-30,BE,比利时,,,,,48519,0,11576,7594
2020-04-30,BF,布基纳法索,,,,,641,0,498,43
2020-04-30,BG,保加利亚,,,,,1488,0,266,65
2020-04-30,BH,巴林,,,,,3037,0,1495,8
2020-04-30,BI,布隆迪,,,,,12,0,4,1
2020-04-30,BJ,贝宁,,,,,64,0,33,1
2020-04-30,BL,圣巴泰勒米,,,,,6,0,6,0
2020-04-30,BM,百慕大,,,,,111,0,48,6
2020-04-30,BN,文莱,,,,,138,0,124,1
2020-04-30,BO,玻利维亚,,,,,1110,0,117,59
2020-04-30,BR,巴西,,,,,79685,0,34132,5513
2020-04-30,BS,巴哈马,,,,,80,0,23,11
2020-04-30,BT,不丹,,,,,7,0,5,0
2020-04-30,BW,博茨瓦纳,,,,,23,0,0,1
2020-04-30,BY,白俄罗斯,,,,,14027,0,2386,89
2020-04-30,BZ,伯利兹,,,,,18,0,9,2
2020-04-30,CA,加拿大,,,,,51597,0,20327,2996
2020-04-30,CD,刚果（金）,,,,,500,0,65,31
2020-04-30,CF,中非,,,,,50,0,10,0
2020-04-30,CG,刚果（布）,,,,,220,0,19,9
2020-04-30,CH,瑞士,,,,,29586,0,23100,1737
2020-04-30,CI,科特迪瓦,,,,,1238,0,557,14
2020-04-30,CL,智利,,,,,16023,0,8580,227
2020-04-30,CM,喀麦隆,,,,,1806,0,915,59
2020-04-30,CN,中国,,,,,84373,10,78816,4643
2020-04-30,CN,中国,110000,北京市,,,593,0,542,9
2020-04-30,CN,中国,110000,北京市,1100xx,未公布来源,0,0,387,9
2020-04-30,CN,中国,110000,北京市,1100xy,外地来京,25,0,2,0
2020-04-30,CN,中国,110000,北京市,1100y0,境外输入,174,0,135,0
2020-04-30,CN,中国,110000,北京市,110101,东城区,14,0,0,0
2020-04-30,CN,中国,110000,北京市,110102,西城区,53,0,0,0
2020-04-30,CN,中国,110000,北京市,110105,朝阳区,75,0,0,0
2020-04-30,CN,中国,110000,北京市,110106,丰台区,43,0,0,0
2020-04-30,CN,中国,110000,北京市,110107,石景山区,14,0,1,0
2020-04-30,CN,中国,110000,北京市,110108,海淀区,64,0,0,0
2020-04-30,CN,中国,110000,北京市,110109,门头沟区,3,0,0,0
2020-04-30,CN,中国,110000,北京市,110111,房山区,16,0,0,0
2020-04-30,CN,中国,110000,北京市,110112,通州区,19,0,0,0
2020-04-30,CN,中国,110000,北京市,110113,顺义区,10,0,0,0
2020-04-30,CN,中国,110000,北京市,110114,昌平区,29,0,1,0
2020-04-30,CN,中国,110000,北京市,110115,大兴区,39,0,16,0
2020-04-30,CN,中国,110000,北京市,110116,怀柔区,7,0,0,0
2020-04-30,CN,中国,110000,北京市,110117,平谷区,0,0,0,0
2020-04-30,CN,中国,110000,北京市,110118,密云区,7,0,0,0
2020-04-30,CN,中国,110000,北京市,110119,延庆区,1,0,0,0
2020-04-30,CN,中国,120000,天津市,,,190,0,184,3
2020-04-30,CN,中国,120000,天津市,1200xy,外地来津,6,0,6,0
2020-04-30,CN,中国,120000,天津市,1200y0,境外输入,54,0,51,0
2020-04-30,CN,中国,120000,天津市,120101,和平区,6,0,6,0
2020-04-30,CN,中国,120000,天津市,120102,河东区,15,0,14,1
2020-04-30,CN,中国,120000,天津市,120103,河西区,4,0,4,0
2020-04-30,CN,中国,120000,天津市,120104,南开区,6,0,6,0
2020-04-30,CN,中国,120000,天津市,120105,河北区,12,0,12,0
2020-04-30,CN,中国,120000,天津市,120106,红桥区,2,0,2,0
2020-04-30,CN,中国,120000,天津市,120110,东丽区,4,0,4,0
2020-04-30,CN,中国,120000,天津市,120111,西青区,4,0,4,0
2020-04-30,CN,中国,120000,天津市,120112,津南区,2,0,2,0
2020-04-30,CN,中国,120000,天津市,120113,北辰区,6,0,6,0
2020-04-30,CN,中国,120000,天津市,120114,武清区,2,0,2,0
2020-04-30,CN,中国,120000,天津市,120115,宝坻区,60,0,58,2
2020-04-30,CN,中国,120000,天津市,120116,滨海新区,3,0,3,0
2020-04-30,CN,中国,120000,天津市,120117,宁河区,4,0,4,0
2020-04-30,CN,中国,120000,天津市,120118,静海区,0,0,0,0
2020-04-30,CN,中国,120000,天津市,120119,蓟州区,0,0,0,0
2020-04-30,CN,中国,130000,河北省,,,328,0,318,6
2020-04-30,CN,中国,130000,河北省,1300y0,境外输入,10,0,6,0
2020-04-30,CN,中国,130000,河北省,130100,石家庄市,29,0,29,0
2020-04-30,CN,中国,130000,河北省,130200,唐山市,58,0,57,1
2020-04-30,CN,中国,130000,河北省,130300,秦皇岛市,10,0,9,1
2020-04-30,CN,中国,130000,河北省,130400,邯郸市,32,0,32,0
2020-04-30,CN,中国,130000,河北省,130500,邢台市,23,0,22,1
2020-04-30,CN,中国,130000,河北省,130600,保定市,32,0,32,0
