date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-07-20,钻石公主号邮轮,,,,,,712,0,653,13
2020-07-20,圣马丁,,,,,,79,0,63,15
2020-07-20,荷属安的列斯,,,,,,28,0,24,1
2020-07-20,安道尔,AD,,,,,880,0,803,52
2020-07-20,阿联酋,AE,,,,,57193,0,49621,340
2020-07-20,阿富汗,AF,,,,,35526,0,23741,1185
2020-07-20,安提瓜和巴布达,AG,,,,,76,0,57,3
2020-07-20,安圭拉,AI,,,,,3,0,3,0
2020-07-20,阿尔巴尼亚,AL,,,,,4090,0,2311,112
2020-07-20,亚美尼亚,AM,,,,,34981,0,23502,650
2020-07-20,安哥拉,AO,,,,,705,0,221,29
2020-07-20,阿根廷,AR,,,,,126755,0,55913,2281
2020-07-20,奥地利,AT,,,,,19743,0,17659,711
2020-07-20,澳大利亚,AU,,,,,12069,0,8444,123
2020-07-20,阿鲁巴,AW,,,,,113,0,100,3
2020-07-20,阿塞拜疆,AZ,,,,,27521,0,18967,354
2020-07-20,波黑,BA,,,,,8479,0,3755,255
2020-07-20,巴巴多斯,BB,,,,,105,0,91,7
2020-07-20,孟加拉国,BD,,,,,207453,0,113556,2668
2020-07-20,比利时,BE,,,,,63893,0,17289,9800
2020-07-20,布基纳法索,BF,,,,,1052,0,901,53
2020-07-20,保加利亚,BG,,,,,8733,0,4106,300
2020-07-20,巴林,BH,,,,,36422,0,32372,127
2020-07-20,布隆迪,BI,,,,,310,0,207,1
2020-07-20,贝宁,BJ,,,,,1602,0,782,31
2020-07-20,圣巴泰勒米,BL,,,,,6,0,6,0
2020-07-20,百慕大,BM,,,,,153,0,137,9
2020-07-20,文莱,BN,,,,,141,0,138,3
2020-07-20,玻利维亚,BO,,,,,59582,0,18553,2151
2020-07-20,巴西,BR,,,,,2100112,0,1371229,79535
2020-07-20,巴哈马,BS,,,,,153,0,91,11
2020-07-20,不丹,BT,,,,,89,0,82,0
2020-07-20,博茨瓦纳,BW,,,,,522,0,48,1
2020-07-20,白俄罗斯,BY,,,,,66213,0,58290,503
2020-07-20,伯利兹,BZ,,,,,40,0,22,2
2020-07-20,加拿大,CA,,,,,110338,0,97051,8852
2020-07-20,刚果（金）,CD,,,,,8443,0,4335,194
2020-07-20,中非,CF,,,,,4485,0,1348,55
2020-07-20,刚果（布）,CG,,,,,2633,0,626,49
2020-07-20,瑞士,CH,,,,,33634,0,30300,1969
2020-07-20,科特迪瓦,CI,,,,,14119,0,8366,92
2020-07-20,智利,CL,,,,,333029,0,303992,8633
2020-07-20,喀麦隆,CM,,,,,16157,0,13728,373
2020-07-20,中国,CN,,,,,86141,4,80600,4653
2020-07-20,中国,CN,北京市,110000,,,929,0,816,9
2020-07-20,中国,CN,北京市,110000,未公布来源,1100xx,2,0,616,9
2020-07-20,中国,CN,北京市,110000,外地来京,1100xy,25,0,2,0
2020-07-20,中国,CN,北京市,110000,境外输入,1100y0,174,0,174,0
2020-07-20,中国,CN,北京市,110000,东城区,110101,19,0,0,0
2020-07-20,中国,CN,北京市,110000,西城区,110102,59,0,2,0
