date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-01-26,澳大利亚,AU,,,,,4,,,
2020-01-26,中国,CN,,,,,2744,5794,51,80
2020-01-26,中国,CN,台湾省,710000,,,4,,,
2020-01-26,中国,CN,香港特别行政区,810000,,,8,,,
2020-01-26,中国,CN,澳门特别行政区,820000,,,5,,,
2020-01-26,法国,FR,,,,,3,,,
2020-01-26,日本,JP,,,,,3,,,
2020-01-26,韩国,KR,,,,,3,,,
2020-01-26,马来西亚,MY,,,,,3,,,
2020-01-26,尼泊尔,NP,,,,,1,,,
2020-01-26,新加坡,SG,,,,,4,,,
2020-01-26,泰国,TH,,,,,7,,,
2020-01-26,美国,US,,,,,3,,,
2020-01-26,越南,VN,,,,,2,,,
