date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-01-27,中国,CN,福建省,350000,,,59,46,,
2020-01-27,中国,CN,福建省,350000,福州市,350100,18,19,,
2020-01-27,中国,CN,福建省,350000,厦门市,350200,4,3,,
2020-01-27,中国,CN,福建省,350000,莆田市,350300,10,3,,
2020-01-27,中国,CN,福建省,350000,三明市,350400,4,8,,
2020-01-27,中国,CN,福建省,350000,泉州市,350500,10,6,,
2020-01-27,中国,CN,福建省,350000,漳州市,350600,5,1,,
2020-01-27,中国,CN,福建省,350000,南平市,350700,2,2,,
2020-01-27,中国,CN,福建省,350000,龙岩市,350800,,3,,
2020-01-27,中国,CN,福建省,350000,宁德市,350900,6,1,,
