date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-01-30,中国,CN,广东省,440000,,,393,,9,
2020-01-30,中国,CN,广东省,440000,广州市,440100,106,,,
2020-01-30,中国,CN,广东省,440000,韶关市,440200,4,,,
2020-01-30,中国,CN,广东省,440000,深圳市,440300,110,,2,
2020-01-30,中国,CN,广东省,440000,珠海市,440400,26,,,
2020-01-30,中国,CN,广东省,440000,汕头市,440500,12,,,
2020-01-30,中国,CN,广东省,440000,佛山市,440600,32,,,
2020-01-30,中国,CN,广东省,440000,江门市,440700,1,,,
2020-01-30,中国,CN,广东省,440000,湛江市,440800,11,,,
2020-01-30,中国,CN,广东省,440000,茂名市,440900,3,,,
2020-01-30,中国,CN,广东省,440000,肇庆市,441200,6,,,
2020-01-30,中国,CN,广东省,440000,惠州市,441300,17,,,
2020-01-30,中国,CN,广东省,440000,梅州市,441400,5,,,
2020-01-30,中国,CN,广东省,440000,汕尾市,441500,3,,,
2020-01-30,中国,CN,广东省,440000,河源市,441600,1,,,
2020-01-30,中国,CN,广东省,440000,阳江市,441700,10,,,
2020-01-30,中国,CN,广东省,440000,清远市,441800,6,,,
2020-01-30,中国,CN,广东省,440000,东莞市,441900,16,,,
2020-01-30,中国,CN,广东省,440000,中山市,442000,18,,,
2020-01-30,中国,CN,广东省,440000,揭阳市,445200,6,,,
