date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-01-31,中国,CN,安徽省,340000,,,297,,3,
2020-01-31,中国,CN,安徽省,340000,合肥市,340100,59,7,1,
2020-01-31,中国,CN,安徽省,340000,芜湖市,340200,15,1,,
2020-01-31,中国,CN,安徽省,340000,蚌埠市,340300,16,6,,
2020-01-31,中国,CN,安徽省,340000,淮南市,340400,6,,,
2020-01-31,中国,CN,安徽省,340000,马鞍山市,340500,22,5,,
2020-01-31,中国,CN,安徽省,340000,淮北市,340600,6,3,,
2020-01-31,中国,CN,安徽省,340000,铜陵市,340700,16,,,
2020-01-31,中国,CN,安徽省,340000,安庆市,340800,37,11,,
2020-01-31,中国,CN,安徽省,340000,黄山市,341000,9,,,
2020-01-31,中国,CN,安徽省,340000,滁州市,341100,6,,,
2020-01-31,中国,CN,安徽省,340000,阜阳市,341200,47,8,,
2020-01-31,中国,CN,安徽省,340000,宿州市,341300,12,5,,
2020-01-31,中国,CN,安徽省,340000,六安市,341500,13,18,1,
2020-01-31,中国,CN,安徽省,340000,亳州市,341600,25,11,1,
2020-01-31,中国,CN,安徽省,340000,池州市,341700,4,2,,
2020-01-31,中国,CN,安徽省,340000,宣城市,341800,4,,,
