date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-01-10,中国,CN,湖北省,420000,武汉市,420100,41,,2,1
2020-01-11,中国,CN,湖北省,420000,武汉市,420100,41,,6,1
2020-01-12,中国,CN,湖北省,420000,武汉市,420100,41,,7,1
2020-01-13,中国,CN,湖北省,420000,武汉市,420100,41,,7,1
2020-01-14,中国,CN,湖北省,420000,武汉市,420100,41,,7,1
2020-01-15,中国,CN,湖北省,420000,武汉市,420100,41,,12,2
2020-01-16,中国,CN,湖北省,420000,武汉市,420100,45,,15,2
2020-01-16,日本,JP,,,,,1,,,
2020-01-16,泰国,TH,,,,,1,,,
2020-01-17,中国,CN,湖北省,420000,武汉市,420100,62,,19,2
2020-01-18,中国,CN,湖北省,420000,武汉市,420100,121,,24,3
2020-01-19,中国,CN,湖北省,420000,武汉市,420100,198,,25,3
