date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-01,中国,CN,辽宁省,210000,,,64,,1,
2020-02-01,中国,CN,辽宁省,210000,沈阳市,210100,16,,,
2020-02-01,中国,CN,辽宁省,210000,大连市,210200,10,,1,
2020-02-01,中国,CN,辽宁省,210000,本溪市,210500,3,,,
2020-02-01,中国,CN,辽宁省,210000,丹东市,210600,6,,,
2020-02-01,中国,CN,辽宁省,210000,锦州市,210700,7,,,
2020-02-01,中国,CN,辽宁省,210000,营口市,210800,1,,,
2020-02-01,中国,CN,辽宁省,210000,阜新市,210900,2,,,
2020-02-01,中国,CN,辽宁省,210000,辽阳市,211000,1,,,
2020-02-01,中国,CN,辽宁省,210000,盘锦市,211100,5,,,
2020-02-01,中国,CN,辽宁省,210000,铁岭市,211200,2,,,
2020-02-01,中国,CN,辽宁省,210000,朝阳市,211300,6,,,
2020-02-01,中国,CN,辽宁省,210000,葫芦岛市,211400,5,,,
