date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-02,中国,CN,山东省,370000,,,246,62,6,
2020-02-02,中国,CN,山东省,370000,济南市,370100,22,8,0,
2020-02-02,中国,CN,山东省,370000,青岛市,370200,25,21,1,
2020-02-02,中国,CN,山东省,370000,淄博市,370300,12,1,0,
2020-02-02,中国,CN,山东省,370000,枣庄市,370400,15,2,0,
2020-02-02,中国,CN,山东省,370000,烟台市,370600,22,4,0,
2020-02-02,中国,CN,山东省,370000,潍坊市,370700,13,0,0,
2020-02-02,中国,CN,山东省,370000,济宁市,370800,18,2,1,
2020-02-02,中国,CN,山东省,370000,泰安市,370900,11,6,1,
2020-02-02,中国,CN,山东省,370000,威海市,371000,25,0,2,
2020-02-02,中国,CN,山东省,370000,日照市,371100,12,0,0,
2020-02-02,中国,CN,山东省,370000,临沂市,371300,24,7,0,
2020-02-02,中国,CN,山东省,370000,德州市,371400,19,6,1,
2020-02-02,中国,CN,山东省,370000,聊城市,371500,9,3,0,
2020-02-02,中国,CN,山东省,370000,滨州市,371600,10,0,0,
2020-02-02,中国,CN,山东省,370000,菏泽市,371700,9,2,0,
