date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2020-02-06,中国,CN,黑龙江省,230000,,,277,210,8,3
2020-02-06,中国,CN,黑龙江省,230000,哈尔滨市,230100,94,,6,
2020-02-06,中国,CN,黑龙江省,230000,齐齐哈尔市,230200,27,,,
2020-02-06,中国,CN,黑龙江省,230000,鸡西市,230300,29,,,
2020-02-06,中国,CN,黑龙江省,230000,鹤岗市,230400,2,,,
2020-02-06,中国,CN,黑龙江省,230000,双鸭山市,230500,36,,1,
2020-02-06,中国,CN,黑龙江省,230000,大庆市,230600,13,,,1
2020-02-06,中国,CN,黑龙江省,230000,佳木斯市,230800,13,,1,
2020-02-06,中国,CN,黑龙江省,230000,七台河市,230900,10,,,
2020-02-06,中国,CN,黑龙江省,230000,牡丹江市,231000,11,,,
2020-02-06,中国,CN,黑龙江省,230000,黑河市,231100,1,,,
2020-02-06,中国,CN,黑龙江省,230000,绥化市,231200,39,,,2
2020-02-06,中国,CN,黑龙江省,230000,大兴安岭地区,232700,2,,,
